Category1,Category2,Category3,Category4,Category5,category_id,Item,Licensing,Website,Platform,Description
Servers,Application Servers,,,,721,BEA Tuxedo,Commercial,http://www.oracle.com/tuxedo,,"Tuxedo (Transactions for Unix, Extended for Distributed Operations) is a middleware platform used to manage distributed transaction processing in distributed computing environments. Tuxedo is a transaction processing system or transaction-oriented middleware, or enterprise application server for a variety of systems and programming languages. Developed by AT&T in the 1980s, it became a software product of Oracle Corporation in 2008 when they acquired BEA Systems."
Servers,Application Servers,,,,721,Resin,Open Source,http://www.caucho.com/,,"Resin is a web server and Java application server from Caucho Technology. In addition to Resin (GPL), Resin Pro is available for enterprise and production environments. Resin supports the Java EE standard[2] as well as a mod_php/PHP like engine called Quercus.[3]"
Servers,Application Servers,,,,721,Enhydra Server,Open Source,http://enhydra.ow2.org/about.html,,Enhydra is the first and leading Open Source Java/XML application server. It was initially created by Lutris Technologies
Servers,Identity Servers,,,,722,WSO2 Identity Server,Open Source,http://wso2.com/products/identity-server/,,"WSO2 Identity Server provides sophisticated security and identity management of enterprise web applications, services, and APIs, and makes life easier for developers and architects with its hassle-free, minimal monitoring and maintenance requirements. In its latest version, Identity Server acts as an Enterprise Identity Bus (EIB) — a central backbone to connect and manage multiple identities regardless of the standards on which they are based"
Servers,LDAP Servers,,,,723,Oracle Directory Server,open Source,http://www.oracle.com/technetwork/middleware/id-mgmt/overview/index-085178.html,,"The Sun Java System Directory Server was Sun Microsystems' LDAP directory server and DSML server written in C.[1] The Java System Directory Server is a component of the Java Enterprise System. Earlier iterations of Sun Java System Directory Server were known as Sun ONE Directory Server, iPlanet Directory Server, and, before that, Netscape Directory Server.
Sun Java System Directory Server is bundled as part of the Directory Server Enterprise Edition, currently known as Oracle Directory Server Enterprise Edition (ODSEE).[2]"
Servers,LDAP Servers,,,,723,Open LDAP,open Source,http://www.openldap.org,,"OpenLDAP is a free, open source implementation of the Lightweight Directory Access Protocol (LDAP) developed by the OpenLDAP Project. It is released under its own BSD-style license called the OpenLDAP Public License"
Servers,Portal Servers,,,,724,Sun GlassFish Web Space Server,open Source,https://docs.oracle.com/cd/E19575-01/820-7053/ghmgz/index.html,,"Sun GlassFish Web Space Server 10.0 software is Sun's next-generation Web 2.0 application aggregation and presentation platform. It is a suite of integrated software products that enables businesses large and small to pull together applications and content from a variety of Web-based and internal sources and present them as a unified, customizable portal on Web browsers, kiosks, and mobile devices. Web Space Server makes it easier for users to find and use the tools and information they need when they need them"
Servers,Blog Servers,,,,725,Apache Roller,open Source,https://roller.apache.org/,,"Apache Roller is a Java-based, full-featured, multi-user and group-blog server suitable for blog sites large and small"
Enterprise Search,Servers,,,,800,Apache Solr,Open Source,http://lucene.apache.org/solr/,," is an open source enterprise search platform, written in Java, from the Apache Lucene project. Its major features include full-text search, hit highlighting, faceted search, real-time indexing, dynamic clustering, database integration, NoSQL features[1] and rich document (e.g., Word, PDF) handling. Providing distributed search and index replication, Solr is highly scalable and fault tolerant.[2] Solr is the most popular enterprise search engine"
Enterprise Search,Servers,,,,800,Splunk,Commercial,http://www.splunk.com/,,"Splunk is an American multinational corporation headquartered in San Francisco, California, which produces software for searching, monitoring, and analyzing machine-generated big data, via a web-style interface"
Enterprise Search,Servers,,,,800,Thunderstone,Commercial,http://www.thunderstone.com/texis/site/pages/Products.html,,Thunderstone provides enterprise search softrware.
Enterprise Search,Libraries,,,,801,Lucene,Open Source,https://lucene.apache.org/,,"Apache Lucene is a free open source information retrieval software library, originally written in Java by Doug Cutting. It is supported by the Apache Software Foundation and is released under the Apache Software License."
Enterprise Search,Libraries,,,,801,Apache Tika,Open Source,https://tika.apache.org/,,"The Apache Tika? toolkit detects and extracts metadata and text from over a thousand different file types (such as PPT, XLS, and PDF). All of these file types can be parsed through a single interface, making Tika useful for search engine indexing, content analysis, translation, and much more"
Frameworks / Specifications,Web Application development,,,,850,SiteMesh,Open Source,http://wiki.sitemesh.org/wiki/display/sitemesh/Home,,"Is a web-page layout and decoration framework and web application integration framework to aid in creating large sites consisting of many pages for which a consistent look/feel, navigation and layout scheme is required"
Frameworks / Specifications,Web Application development,,,,850,GWT,Open Source,http://www.gwtproject.org/,,"GWT is a development toolkit for building and optimizing complex browser-based applications. Its goal is to enable productive development of high-performance web applications without the developer having to be an expert in browser quirks, XMLHttpRequest, and JavaScript. GWT is used by many products at Google, including AdWords, AdSense, Flights, Hotel Finder, Offers, Wallet, Blogger. It’s open source, completely free, and used by thousands of developers around the world."
